Compound,CSID
0.73_275.0876m/z,CSID8763
0.73_275.0876m/z,CSID8764
0.73_275.0876m/z,CSID8777
2.04_241.0928m/z,CSID30791624
2.04_241.0928m/z,CSID4090
2.04_241.0928m/z,CSID94030
0.95_231.0626m/z,CSID390939
0.95_231.0626m/z,CSID80234
0.75_481.0477m/z,CSID171381
0.75_481.0477m/z,CSID28528387
0.75_481.0477m/z,CSID58507
1.47_335.0603m/z,CSID10183330
1.47_335.0603m/z,CSID391886
1.47_335.0603m/z,CSID633
1.47_335.0603m/z,CSID8761
0.77_227.0980m/z,CSID155000
0.77_227.0980m/z,CSID35632
0.77_227.0980m/z,CSID5190
0.77_227.0980m/z,CSID97254
0.64_338.9887m/z,CSID111287
0.64_338.9887m/z,CSID113834
0.64_338.9887m/z,CSID150604
0.64_338.9887m/z,CSID16744067
0.64_338.9887m/z,CSID16929
0.64_338.9887m/z,CSID17216032
0.64_338.9887m/z,CSID2300632
0.64_338.9887m/z,CSID388552
0.64_338.9887m/z,CSID389093
0.64_338.9887m/z,CSID389117
0.64_338.9887m/z,CSID389196
0.64_338.9887m/z,CSID391077
0.64_338.9887m/z,CSID74362
0.64_338.9887m/z,CSID94762
0.64_338.9887m/z,CSID9848
0.72_604.0677m/z,CSID17372
0.72_604.0677m/z,CSID24608058
0.72_604.0677m/z,CSID30791442
0.72_604.0677m/z,CSID30792002
0.72_604.0677m/z,CSID388364
0.72_604.0677m/z,CSID388619
0.72_604.0677m/z,CSID388761
0.75_375.1232m/z,CSID10585
0.75_375.1232m/z,CSID138759
0.75_375.1232m/z,CSID30791545
0.75_375.1232m/z,CSID391578
0.75_375.1232m/z,CSID40185
0.75_375.1232m/z,CSID4938327
0.75_375.1232m/z,CSID64827
0.75_375.1232m/z,CSID80905
0.75_375.1232m/z,CSID8243682
2.04_125.0357m/z,CSID1103
2.04_125.0357m/z,CSID13836591
2.04_125.0357m/z,CSID13837670
2.04_125.0357m/z,CSID190756
2.04_125.0357m/z,CSID196452
2.04_125.0357m/z,CSID388924
2.04_125.0357m/z,CSID86856
2.48_134.0471m/z,CSID167988
2.48_134.0471m/z,CSID185
2.48_134.0471m/z,CSID388929
0.70_587.0285m/z,CSID28290514
0.92_447.0065m/z,CSID391294
0.92_447.0065m/z,CSID83451
1.03_364.1171m/z,CSID141526
1.03_364.1171m/z,CSID19870
1.03_364.1171m/z,CSID31583
1.03_364.1171m/z,CSID39888
1.03_364.1171m/z,CSID56607
1.03_364.1171m/z,CSID64331
1.20_148.0433m/z,CSID102690
1.20_148.0433m/z,CSID145901
1.20_148.0433m/z,CSID20546
1.20_148.0433m/z,CSID389
1.20_148.0433m/z,CSID389105
1.20_148.0433m/z,CSID390956
1.20_148.0433m/z,CSID5643
1.20_148.0433m/z,CSID5872
1.20_148.0433m/z,CSID5907
1.20_148.0433m/z,CSID76512
1.20_148.0433m/z,CSID853
0.70_229.0111m/z,CSID12938
0.70_229.0111m/z,CSID152
0.70_229.0111m/z,CSID163687
0.70_229.0111m/z,CSID17229503
0.70_229.0111m/z,CSID19337957
0.70_229.0111m/z,CSID21230426
