"","unlist.path_gene2."
"1878","83493"
"1879","101490"
"1880","18717"
"1881","18719"
"1882","18720"
"1883","227733"
"1884","320634"
"1885","16330"
"1886","64436"
"1887","104015"
"1888","20975"
"1889","18706"
"1890","18707"
"1891","74769"
"1892","30955"
"1893","19211"
"1894","16331"
"1895","16332"
"1896","18704"
"1897","18705"
"1898","240752"
"1899","269180"
"1900","234515"
"1901","18711"
"1902","103199"
"1903","117150"
"1904","18718"
"1905","108083"
"1906","18795"
"1907","18797"
"1908","18798"
"1909","18796"
"1910","18799"
"1911","72469"
"1912","18802"
"1913","74055"
"1914","18803"
"1915","234779"
"1916","114875"
"1917","269437"
"1918","269615"
"1919","114663"
"1920","55980"
"1921","242291"
"1922","52858"
"1923","71780"
"1924","16329"
"1925","19062"
"1926","170835"
"1927","212111"
"1929","320404"
"1930","228550"
"1931","233011"
"1932","217837"
"1933","69718"
"1934","75678"
"1938","18700"
"1939","67292"
"1940","110417"
"1941","56176"
"1942","14755"
"1943","66268"
"1945","327942"
"1946","70325"
"1947","14756"
"1948","67556"
"1949","72084"
"1950","230801"
"1951","27392"
"1952","55981"
"1953","56703"
"1954","18701"
"1955","14731"
"1956","329777"
"1957","276846"
"1958","78928"
"1959","228812"
"1960","241062"
"1961","239827"
"1962","433931"
"1963","14555"
"1964","333433"
"1965","14571"
"1978","14712"
"2000","18806"
"2001","18805"
"2002","18807"
"2003","104759"
"2004","16816"
"2005","26971"
"2006","18778"
"2007","18781"
"2008","18784"
"2009","18782"
"2010","26970"
"2011","66350"
"2012","69836"
"2013","26565"
"2014","18780"
"2015","237625"
"2016","329502"
"2017","18783"
"2018","211429"
"2019","232889"
"2020","78390"
"2021","271844"
"2022","53357"
"2023","665270"
"2024","225845"
"2025","270084"
"2026","210992"
"2027","70902"
"2028","99010"
"2029","14792"
"2030","18777"
"2031","192654"
"2032","26394"
"2033","50767"
"2034","241274"
"2035","74182"
"2036","12647"
"2037","11423"
"2038","12660"
"2039","12651"
"2040","237928"
"2044","75320"
"2045","214253"
"2047","71760"
"2048","18618"
"2049","74596"
"2050","110911"
"2051","19210"
"2052","27388"
"2053","320951"
"2054","74451"
"2055","66586"
"2056","66826"
"2057","226856"
"2059","77582"
"2060","228061"
"2088","320981"
"2089","18606"
"2090","68616"
"2091","66569"
"2092","68255"
"2097","22239"
"2098","53897"
"2102","18472"
"2103","18475"
"2104","18476"
"2105","100163"
"2106","27226"
"2127","19224"
"2128","19225"
"2129","64292"
"2130","96979"
"2131","56351"
"2132","12408"
"2133","12409"
"2134","109857"
"2135","66469"
"2136","21391"
"2137","19215"
"2139","19223"
"2140","11689"
"2141","16993"
"2142","72054"
"2143","64385"
"2144","170716"
"2145","17001"
"2156","665095"
"2157","230459"
"2158","100066"
"2159","74519"
"2160","13109"
"2161","242546"
"2162","13110"
"2163","71519"
"2172","11684"
"2173","11685"
"2174","11686"
"2175","11688"
"2194","13850"
"2195","11687"
"2266","56473"
"2271","20773"
"2272","268656"
"2273","228677"
"2274","70750"
"2275","545975"
"2276","76893"
"2277","93898"
"2278","67260"
"2279","241447"
"2280","71949"
"2281","11886"
"2282","54447"
"2283","230379"
"2284","171168"
"2285","66190"
"2286","70059"
"2287","13244"
"2288","619326"
"2289","208449"
"2290","74442"
"2291","20597"
"2292","20598"
"2293","58994"
"2294","77626"
"2295","238011"
"2296","223753"
"2300","81535"
"2301","433323"
"2302","56632"
"2303","20698"
"2304","20397"
"2305","22234"
"2308","56386"
"2311","14420"
"2313","11883"
"2319","108105"
"2320","102637973"
"2321","26877"
"2322","26878"
"2323","93961"
"2324","14343"
"2325","14344"
"2326","56546"
"2328","20443"
"2329","14594"
"2330","80908"
"2337","14347"
"2338","54613"
"2339","20449"
"2340","239559"
"2341","26879"
"2343","72297"
"2344","231727"
"2345","14538"
"2346","215493"
"2348","227671"
"2354","17939"
"2362","14421"
"2363","54218"
"2366","225742"
"2367","20454"
"2369","11416"
"2370","20447"
"2371","20448"
"2372","26938"
"2373","50935"
"2388","66204"
"2389","75572"
"2395","74156"
"2400","52815"
"2401","109801"
"2402","14651"
"2404","107029"
"2405","17436"
"2406","109264"
"2429","56185"
"2430","15112"
"2433","67078"
"2442","68180"
"2448","380660"
"2466","52665"
"2486","117147"
"2487","233799"
"2488","233801"
"2489","272428"
"2490","20216"
"2491","217666"
"2506","13361"
"2507","270685"
"2508","108156"
"2509","17768"
"2510","665563"
"2516","69606"
"2520","107747"
"2521","216188"
"2522","17769"
"2523","107885"
"2524","100039707"
"2525","18041"
"2527","11650"
"2528","11648"
"2529","11647"
"2530","76768"
"2531","11431"
"2532","29807"
"2539","105663"
"2540","54391"
"2541","11433"
"2543","11432"
"2544","319945"
"2547","233016"
"2548","103711"
"2549","216134"
"2550","57028"
"2551","73373"
"2557","68352"
"2558","67375"
"2559","223646"
"2562","225994"
"2563","69564"
"2573","74080"
"2574","66454"
"2575","226518"
"2578","67993"
"2579","78914"
"2580","59027"
"2581","11871"
"2582","11872"
"2583","12494"
"2584","12182"
"2585","93759"
"2586","64383"
"2587","64384"
"2588","75387"
"2589","68346"
"2590","50721"
"2591","209011"
"2592","192185"
"2593","68646"
"2594","18115"
"2595","18113"
"2600","269614"
"2601","211347"
"2602","74450"
"2603","75735"
"2604","106564"
"2605","66812"
"2608","71743"
"2609","67618"
"2610","22361"
"2611","26464"
"2619","110948"
"2620","26363"
"2621","67164"
"2622","79464"
"2623","623661"
"2625","14528"
"2631","14287"
"2632","14590"
"2633","19286"
"2634","20751"
"2640","110391"
"2641","13180"
"2642","72562"
"2647","56738"
"2648","17434"
"2649","268566"
"2650","68591"
"2651","63857"
"2656","20148"
"2657","28200"
"2658","241452"
"2659","235033"
"2660","98711"
"2661","17252"
"2662","77974"
"2663","19683"
"2664","103142"
"2665","107605"
"2666","54150"
"2667","242285"
"2669","79235"
"2671","245532"
"2672","19892"
"2673","19682"
"2678","26358"
"2679","19378"
"2680","11668"
